,vectorizer_type,ari,jaccard,dasgupta
6,yonatanlou/BEREL-finetuned-DSS-composition-classification,0.21860902600324025,0.0008140008140008141,0.7604184828964102
5,yonatanlou/BEREL-finetuned-DSS-sectarian-classification,0.18639769817242527,0.002414239857678772,0.7163696341290783
0,dicta-il/BEREL,0.18847959743757203,0.00843856172190865,0.6880410155558513
8,tfidf,0.11497219749302173,0.012973756068227187,0.6700141787419251
1,onlplab/alephbert-base,0.1776544817302311,0.012456698655793678,0.6310609467940486
4,dicta-il/dictabert,0.17635348667971742,0.004439877706049498,0.6295867440750926
2,dicta-il/dictabert-tiny,0.13876152713757978,0.006861263676788576,0.6250336177387849
7,yonatanlou/BEREL-finetuned-DSS-maskedLM,0.1869186463939681,0.0012994252124686905,0.622648014513697
3,dicta-il/dictabert-large,0.16223963796349727,0.0011661469321456392,0.6170890098520725
9,trigram,0.08625254200817704,0.004662502835402896,0.5462466686377527
10,starr,0.06682613421531547,0.004013146323438182,0.5118972480964086
